stackid,respid,party,votech,stacked_votech,ptv,lr_dist,age_cont_yhat,age_dich_yhat,socdem_dich_yhat,socdem_cont_yhat,gndr,age
642-1501,642,1501,1504,0,1,0.355152377564331,0.376101849194805,0.118925924687058,0.096274526198452,0.308398125812991,1,21
642-1502,642,1502,1504,0,1,0.29258469556977,0.308921159712538,0.0473343373916009,0.0560206293730248,0.327402503663792,1,21
642-1503,642,1503,1504,0,1,0.205082742316785,0.428656545286592,0.194117413404587,0.245048892065101,0.477288219807548,1,21
642-1504,642,1504,1504,1,1,0.0067688378033206,0.472627551103506,0.144147633562104,0.173649086605021,0.492904132797903,1,21
642-1505,642,1505,1504,0,1,0.160231432282442,0.293968213721648,0.0130807740077821,0.0156758830502948,0.22458967970312,1,21
642-1506,642,1506,1504,0,1,0.123843988741456,0.366627451553666,0.0749443392910668,0.0294955860985528,0.284578345929276,1,21
642-1507,642,1507,1504,0,1,0.234581105169341,0.306089367003728,0.0286549657613967,0.0246288464048531,0.330138358521602,1,21
643-1501,643,1501,1503,0,0.3,0.0892920668801138,0.346265859707062,0.148718749051975,0.12985191366172,0.305029094214997,1,43
643-1502,643,1502,1503,0,0.5,0.151859748874674,0.271563750485674,0.0412084458138109,0.0435959580502067,0.286457051824722,1,43
643-1503,643,1503,1503,1,0.7,0.128250591016548,0.43807362437949,0.23137964986013,0.268891582608597,0.465691497623636,1,43
643-1504,643,1504,1503,0,0.7,0.0067688378033206,0.410652214495786,0.153423210587698,0.177918825382986,0.419940278494008,1,43
643-1505,643,1505,1503,0,0,0.0619907899397804,0.237836366951066,0.01856120037486,0.0220187679904357,0.178946320951795,1,43
643-1506,643,1506,1503,0,0,0.123843988741456,0.292718054403056,0.0476198641019233,0.0237378720578328,0.222903182499721,1,43
643-1507,643,1507,1503,0,0.3,0.0123588829471183,0.303764896311694,0.0368716966385152,0.03398249506867,0.327632387798251,1,43
645-1501,645,1501,1503,0,0,0.355152377564331,0.336772590324599,0.1594120850338,0.187248936694794,0.366386293748172,2,50
645-1502,645,1502,1503,0,0,0.0407486377635631,0.259677302095308,0.0394236492287227,0.0406323049393127,0.247464589431819,2,50
645-1503,645,1503,1503,1,1,0.0939716312056738,0.441069967727231,0.244234446057336,0.197947427645837,0.393653766852831,2,50
645-1504,645,1504,1503,0,0.4,0.0067688378033206,0.390932789211511,0.156475302650567,0.150210852792619,0.37305939332152,2,50
645-1505,645,1505,1503,0,0,0.160231432282442,0.219976233887698,0.0207379662401494,0.0135807425635604,0.269971767343454,2,50
645-1506,645,1506,1503,0,0,0.4317115668141,0.269201428036953,0.0411200225903051,0.0602569304847326,0.329391348162583,2,50
645-1507,645,1507,1503,0,0.6,0.123469994058229,0.303025292000593,0.0399322256325099,0.0496993547467514,0.281900620515739,2,50
648-1501,648,1501,1503,0,0,0.244041266453219,0.359827673110582,0.134477319523314,0.113500360183201,0.306560472214085,1,33
648-1502,648,1502,1503,0,0.7,0.0407486377635631,0.288544391043339,0.0438927779616536,0.0488790426484987,0.305068620842481,1,33
