respid,party,stackid,votech,pid,pid_str,age,gndr,edu,lr_self,lr_party,lr_party_ches,euint_self,euint_party,euint_party_ches,ptv,stacked_vc,lr_dist,lr_dist_ches,euint_dist,euint_dist_ches,stacked_pid,stacked_pid_str,age_dich_yhat,age_cont_yhat,socdem_dich_yhat,socdem_cont_yhat
642,1501,642-1501,1504,1504,3,21,1,2,.5,.31963715,.32105261,1,.55755055,.67894733,1,0,.18036285,.17894739,.44244945,.32105267,0,0,.14192401,.37610185,.11461186,.30839813
642,1502,642-1502,1504,1504,3,21,1,2,.5,.73667377,.69473684,1,.45579195,.48947367,1,0,.23667377,.19473684,.54420805,.5105263,0,0,.056663256,.30892116,.066559218,.3274025
642,1503,642-1503,1504,1504,3,21,1,2,.5,.81542552,.87894738,1,.39441913,.16842106,1,0,.31542552,.37894738,.60558087,.83157897,0,0,.23191144,.42865655,.29018465,.47728822
642,1504,642-1504,1504,1504,3,21,1,2,.5,.50609195,.47777778,1,.46630952,.34736842,1,1,.0060919523,.022222221,.53369045,.65263158,1,3,.17223711,.47262755,.20486331,.49290413
642,1505,642-1505,1504,1504,3,21,1,2,.5,.14420828,.14444444,1,.48329145,.5266667,1,0,.35579172,.35555556,.51670855,.4733333,0,0,.015566558,.2939682,.018475315,.22458968
642,1506,642-1506,1504,1504,3,21,1,2,.5,.38854042,.43125001,1,.60604191,.67500001,1,0,.11145958,.068749994,.39395809,.32499999,0,0,.08992669,.36662745,.035299405,.28457835
642,1507,642-1507,1504,1504,3,21,1,2,.5,.78887701,.90526313,1,.38956836,.19473684,1,0,.28887701,.40526313,.61043167,.80526316,0,0,.034151439,.30608937,.029282695,.33013836
643,1501,643-1501,1503,99,99,43,1,2,.7,.31963715,.32105261,.5,.55755055,.67894733,.30000001,0,.38036284,.37894738,.05755055,.17894733,99,0,.16953379,.34626585,.14758356,.30502909
643,1502,643-1502,1503,99,99,43,1,2,.7,.73667377,.69473684,.5,.45579195,.48947367,.5,0,.036673773,.0052631618,.04420805,.010526329,99,0,.047062319,.27156374,.049221519,.28645706
643,1503,643-1503,1503,99,99,43,1,2,.7,.81542552,.87894738,.5,.39441913,.16842106,.69999999,1,.11542551,.17894737,.10558087,.33157894,99,0,.26374185,.43807364,.30507797,.46569151
