country_short,country,countrycode,Q2,Q7,Q9,Q10_PTV,Q13_left_right,party_name,party_name_eng,party_id,cmp_id,year,edate,votesh,fs_order
AT,13,1040,101,101,101,Q10_1,Q13_1,ÖVP,Austrian People's Party,1302,42520,2002,2002-11-24,0.423,1
AT,13,1040,101,101,101,Q10_1,Q13_1,ÖVP,Austrian People's Party,1302,42520,2006,2006-10-01,0.3433,1
AT,13,1040,101,101,101,Q10_1,Q13_1,ÖVP,Austrian People's Party,1302,42520,2008,2008-09-28,0.2598,1
AT,13,1040,101,101,101,Q10_1,Q13_1,ÖVP,Austrian People's Party,1302,42520,2013,2013-09-29,0.23991,1
AT,13,1040,101,101,101,Q10_1,Q13_1,ÖVP,Austrian People's Party,1302,42520,2017,2017-10-15,0.3147,1
AT,13,1040,101,101,101,Q10_1,Q13_1,ÖVP,Austrian People's Party,1302,42520,2019,2019-09-29,0.374570830139373,1
AT,13,1040,102,102,102,Q10_2,Q13_2,SPÖ,Austrian Social Democratic Party,1301,42320,2002,2002-11-24,0.3651,1
AT,13,1040,102,102,102,Q10_2,Q13_2,SPÖ,Austrian Social Democratic Party,1301,42320,2006,2006-10-01,0.3534,1
AT,13,1040,102,102,102,Q10_2,Q13_2,SPÖ,Austrian Social Democratic Party,1301,42320,2008,2008-09-28,0.2926,1
AT,13,1040,102,102,102,Q10_2,Q13_2,SPÖ,Austrian Social Democratic Party,1301,42320,2013,2013-09-29,0.26819,1
AT,13,1040,102,102,102,Q10_2,Q13_2,SPÖ,Austrian Social Democratic Party,1301,42320,2017,2017-10-15,0.26859,1
AT,13,1040,102,102,102,Q10_2,Q13_2,SPÖ,Austrian Social Democratic Party,1301,42320,2019,2019-09-29,0.211809900515904,1
AT,13,1040,103,104,103,Q10_3,Q13_3,NEOS,NEOS - The New Austria and Liberal Forum,1306,42421,,,,
AT,13,1040,104,106,104,Q10_4,Q13_4,Die Grünen,The Greens,1304,42110,2002,2002-11-24,0.0947,1
AT,13,1040,104,106,104,Q10_4,Q13_4,Die Grünen,The Greens,1304,42110,2006,2006-10-01,0.1105,1
AT,13,1040,104,106,104,Q10_4,Q13_4,Die Grünen,The Greens,1304,42110,2008,2008-09-28,0.1043,1
AT,13,1040,104,106,104,Q10_4,Q13_4,Die Grünen,The Greens,1304,42110,2013,2013-09-29,0.12416,1
AT,13,1040,104,106,104,Q10_4,Q13_4,Die Grünen,The Greens,1304,42110,2017,2017-10-15,0.038,1
AT,13,1040,104,106,104,Q10_4,Q13_4,Die Grünen,The Greens,1304,42110,2019,2019-09-29,0.139003727252061,1
AT,13,1040,105,103,105,Q10_5,Q13_5,FPÖ,Austrian Freedom Party,1303,42420,2002,2002-11-24,0.1001,1
AT,13,1040,105,103,105,Q10_5,Q13_5,FPÖ,Austrian Freedom Party,1303,42420,2006,2006-10-01,0.1104,1
AT,13,1040,105,103,105,Q10_5,Q13_5,FPÖ,Austrian Freedom Party,1303,42420,2008,2008-09-28,0.1754,1
AT,13,1040,105,103,105,Q10_5,Q13_5,FPÖ,Austrian Freedom Party,1303,42420,2013,2013-09-29,0.20506,1
AT,13,1040,105,103,105,Q10_5,Q13_5,FPÖ,Austrian Freedom Party,1303,42420,2017,2017-10-15,0.25966,1
AT,13,1040,105,103,105,Q10_5,Q13_5,FPÖ,Austrian Freedom Party,1303,42420,2019,2019-09-29,0.161738792601428,1
AT,13,1040,106,105,106,Q10_6,Q13_6,Jetzt – Liste Pilz/ Europa,Alliance for the Future of Austria,1307,42710,2006,2006-10-01,0.0411,1
AT,13,1040,106,105,106,Q10_6,Q13_6,Jetzt – Liste Pilz/ Europa,Alliance for the Future of Austria,1307,42710,2008,2008-09-28,0.107,1
AT,13,1040,,107,107,"","",KPÖ,Austrian Communist Party,,,,,,
AT,13,1040,,,108,"","",Die Weißen,"",,,,,,
AT,13,1040,,,109,"","",FLÖ (Liste Dr. Schnell),"",,,,,,
